Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,sample,female,w,lnw,agesq
3,2600310997690,January,AL,3151.6801,1692.0,40,43,1,,29,2,7,0,0,"Native, Born In US",63,Employment services (5613),630,"Private, For Profit",No,No,Employed-At Work,1.0,1,42.3,3.744787086052232,841
424,69997206074239,January,AK,374.8012,1057.0,42,39,1,,48,1,1,1,3,"Native, Born In US",94,Support activities for mining (213),530,"Private, For Profit",No,No,Employed-At Work,1.0,0,25.166666666666668,3.2255203675868693,2304
534,700209900646154,January,AK,332.7025,1557.69,40,41,1,,57,2,7,0,0,"Native, Born In US",94,"Justice, public order, and safety activities (922, pt. 92115)",740,Government - Federal,No,No,Employed-At Work,1.0,1,38.94225,3.6620797794766333,3249
668,340446097003209,January,AZ,4272.6777,1634.61,40,42,1,,30,2,1,1,1,"Native, Born In US",86,** Construction (23),710,"Private, For Profit",No,No,Employed-At Work,1.0,1,40.865249999999996,3.710280068654017,900
759,70447007503540,January,AZ,4431.6759,817.0,40,39,1,,29,2,1,0,0,"Native, Born In US",86,Insurance carriers and related activities (524),540,"Private, For Profit",No,No,Employed-At Work,1.0,1,20.425,3.0167596407460664,841
762,91883501047446,January,AZ,4306.6869,1200.0,40,40,1,,58,2,1,0,0,"Native, Born In US",86,Insurance carriers and related activities (524),540,"Private, For Profit",No,No,Employed-At Work,1.0,1,30.0,3.4011973816621555,3364
787,244490930230006,January,AZ,3664.8993,1538.0,60,40,1,,53,1,1,0,0,"Native, Born In US",86,"Management, scientific, and technical consulting services (5416)",710,"Private, For Profit",No,No,Employed-At Work,1.0,0,25.633333333333333,3.2438935878434885,2809
799,339004510400351,January,AZ,4424.1187,1692.0,40,43,1,,34,2,7,0,0,"Native, Born In US",86,Insurance carriers and related activities (524),540,"Private, For Profit",No,No,Employed-At Work,1.0,1,42.3,3.744787086052232,1156
802,430249009603420,January,AZ,4534.5042,1442.3,45,43,4,,32,2,1,0,0,"Foreign Born, Not a US Citizen",86,Computer systems design and related services (5415),650,"Private, For Profit",No,No,Employed-At Work,1.0,1,32.05111111111111,3.4673318508191446,1024
854,975091769400667,January,AZ,3475.1573,2692.3,45,43,1,,62,1,5,0,0,"Native, Born In US",86,Medical equipment and supplies manufacturing (3391),710,"Private, For Profit",No,No,Employed-At Work,1.0,0,59.82888888888889,4.091488636092755,3844
